max_loss,max_daily_loss,max_gain,max_daily_gain,max_drawdown,drawdown_days,start_date,end_date,mv
-0.2,-0.2,0.5,0.1,0.005,20,2017-06-30,2018-06-30,4855.0
-0.2,-0.2,0.5,0.2,0.005,20,2017-06-30,2018-06-30,4855.0
-0.2,-0.2,0.67,0.1,0.005,20,2017-06-30,2018-06-30,4855.0
-0.2,-0.2,0.3,0.1,0.005,20,2017-06-30,2018-06-30,4855.0
-0.2,-0.1,0.3,0.1,0.01,20,2017-06-30,2018-06-30,4668.0
-0.3,-0.1,0.67,0.1,0.01,20,2017-06-30,2018-06-30,4668.0
-0.2,-0.1,0.5,0.1,0.01,20,2017-06-30,2018-06-30,4668.0
-0.2,-0.1,0.67,0.1,0.01,20,2017-06-30,2018-06-30,4668.0
-0.3,-0.1,0.3,0.1,0.01,20,2017-06-30,2018-06-30,4668.0
-0.3,-0.1,0.5,0.1,0.01,20,2017-06-30,2018-06-30,4668.0
-0.2,-0.1,0.5,0.2,0.01,20,2017-06-30,2018-06-30,4667.0
-0.2,-0.1,0.67,0.2,0.01,20,2017-06-30,2018-06-30,4667.0
-0.3,-0.1,0.3,0.2,0.01,20,2017-06-30,2018-06-30,4667.0
-0.2,-0.1,0.3,0.2,0.01,20,2017-06-30,2018-06-30,4667.0
-0.3,-0.1,0.5,0.2,0.01,20,2017-06-30,2018-06-30,4667.0
-0.3,-0.1,0.67,0.2,0.01,20,2017-06-30,2018-06-30,4667.0
