symbol,description,industry,sector,market_cap
CEO,CNOOC Limited,Energy,Oil & Gas E&P,53.60B
SIM,"Grupo Simec, S.A.B. de C.V.",Basic Materials,Steel,2.09B
AKO-B,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,2.45B
BRK-A,Berkshire Hathaway Inc.,Financial,Insurance - Diversified,591.19B
GHC,Graham Holdings Company,Consumer Defensive,Education & Training Services,3.02B
TARO,Taro Pharmaceutical Industries Ltd.,Healthcare,Drug Manufacturers - Specialty & Generic,2.98B
EBR-B,Centrais Eletricas Brasileiras S.A.,Utilities,Utilities - Regulated Electric,9.18B
IX,ORIX Corporation,Financial,Credit Services,22.01B
BF-A,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,11.36B
WF,Woori Financial Group Inc.,Financial,Banks - Regional,6.40B
VIE,"Viela Bio, Inc.",Healthcare,Biotechnology,2.91B
SEB,Seaboard Corporation,Industrials,Conglomerates,4.37B
AKO-A,Embotelladora Andina S.A.,Consumer Defensive,Beverages - Non-Alcoholic,2.30B
GB,Global Blue Group Holding AG,Technology,Information Technology Services,2.15B
SHI,Sinopec Shanghai Petrochemical Company Limited,Energy,Oil & Gas Refining & Marketing,4.94B
NVR,"NVR, Inc.",Consumer Cyclical,Residential Construction,17.37B
NEU,NewMarket Corporation,Basic Materials,Specialty Chemicals,4.39B
ANAT,"American National Group, Inc.",Financial,Insurance - Diversified,2.76B
FSV,FirstService Corporation,Real Estate,Real Estate Services,6.63B
JHX,James Hardie Industries plc,Basic Materials,Building Materials,12.67B
COKE,"Coca-Cola Consolidated, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,2.78B
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Industrials,Airports & Air Services,5.19B
AVAL,Grupo Aval Acciones y Valores S.A.,Financial,Banks - Regional,7.27B
CEA,China Eastern Airlines Corporation Limited,Industrials,Airlines,11.90B
UHAL,AMERCO,Industrials,Rental & Leasing Services,11.87B
KAI,Kadant Inc.,Industrials,Specialty Industrial Machinery,2.02B
LEN-B,Lennar Corporation,Consumer Cyclical,Residential Construction,2.75B
CABO,"Cable One, Inc.",Communication Services,Telecom Services,10.91B
WTM,"White Mountains Insurance Group, Ltd.",Financial,Insurance - Property & Casualty,3.68B
LANC,Lancaster Colony Corporation,Consumer Defensive,Packaged Foods,5.06B
CVCO,"Cavco Industries, Inc.",Consumer Cyclical,Residential Construction,2.07B
CSWI,"CSW Industrials, Inc.",Industrials,Specialty Industrial Machinery,2.05B
MKL,Markel Corporation,Financial,Insurance - Property & Casualty,15.46B
ITCB,Itau Corpbanca,Financial,Banks - Regional,2.03B
ESLT,Elbit Systems Ltd.,Industrials,Aerospace & Defense,6.12B
BBU,Brookfield Business Partners L.P.,Industrials,Conglomerates,3.07B
Y,Alleghany Corporation,Financial,Insurance - Property & Casualty,9.02B
ROG,Rogers Corporation,Technology,Electronic Components,3.64B
BATRA,The Liberty Braves Group,Communication Services,Entertainment,27.23B
ESGR,Enstar Group Limited,Financial,Insurance - Diversified,5.73B
CPK,Chesapeake Utilities Corporation,Utilities,Utilities - Regulated Gas,2.09B
CACC,Credit Acceptance Corporation,Financial,Credit Services,6.32B
CBPO,"China Biologic Products Holdings, Inc.",Healthcare,Biotechnology,4.53B
CMPR,Cimpress plc,Communication Services,Advertising Agencies,2.70B
PRK,Park National Corporation,Financial,Banks - Regional,2.21B
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",Consumer Defensive,Beverages - Non-Alcoholic,2.48B
DAVA,Endava plc,Technology,Software - Infrastructure,4.53B
HNP,"Huaneng Power International, Inc.",Utilities,Utilities - Independent Power Producers,8.87B
SCL,Stepan Company,Basic Materials,Specialty Chemicals,2.84B
JJSF,J & J Snack Foods Corp.,Consumer Defensive,Packaged Foods,3.13B
CENT,Central Garden & Pet Company,Consumer Defensive,Packaged Foods,2.61B
OMAB,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",Industrials,Airports & Air Services,2.34B
SAM,"The Boston Beer Company, Inc.",Consumer Defensive,Beverages - Brewers,13.99B
STN,Stantec Inc.,Industrials,Engineering & Construction,4.66B
CIXX,CI Financial Corp,Financial,Asset Management,3.15B
FWRD,Forward Air Corporation,Industrials,Integrated Freight & Logistics,2.52B
LBRDA,Liberty Broadband Corporation,Communication Services,Entertainment,29.59B
ESE,ESCO Technologies Inc.,Technology,Scientific & Technical Instruments,2.85B
IFS,Intercorp Financial Services Inc.,Financial,Banks - Regional,3.55B
CIGI,Colliers International Group Inc.,Real Estate,Real Estate Services,4.10B
NNI,"Nelnet, Inc.",Financial,Credit Services,2.87B
ZNH,China Southern Airlines Company Limited,Industrials,Airlines,15.17B
DOOO,BRP Inc.,Consumer Cyclical,Recreational Vehicles,3.45B
UI,Ubiquiti Inc.,Technology,Communication Equipment,21.40B
WNS,WNS (Holdings) Limited,Industrials,Specialty Business Services,3.77B
MOR,MorphoSys AG,Healthcare,Biotechnology,3.32B
BCPC,Balchem Corporation,Basic Materials,Specialty Chemicals,4.11B
FWONA,Formula One Group,Communication Services,Broadcasting,27.88B
BANF,BancFirst Corporation,Financial,Banks - Regional,2.29B
ARD,Ardagh Group S.A.,Consumer Cyclical,Packaging & Containers,6.32B
ERIE,Erie Indemnity Company,Financial,Insurance Brokers,10.97B
PAC,"Grupo Aeroportuario del Pacifico, S.A.B. de C.V.",Industrials,Airports & Air Services,4.93B
KWR,Quaker Chemical Corporation,Basic Materials,Specialty Chemicals,4.40B
DSGX,The Descartes Systems Group Inc,Technology,Software - Application,5.31B
IOSP,Innospec Inc.,Basic Materials,Specialty Chemicals,2.53B
AFYA,Afya Limited,Consumer Defensive,Education & Training Services,2.02B
KRTX,"Karuna Therapeutics, Inc.",Healthcare,Biotechnology,3.47B
TIGO,Millicom International Cellular S.A.,Communication Services,Telecom Services,4.08B
GSHD,"Goosehead Insurance, Inc",Financial,Insurance - Diversified,5.08B
HLIO,"Helios Technologies, Inc.",Industrials,Specialty Industrial Machinery,2.31B
FCNCA,"First Citizens BancShares, Inc.",Financial,Banks - Regional,8.21B
WDFC,WD-40 Company,Basic Materials,Specialty Chemicals,4.13B
WPP,WPP plc,Communication Services,Advertising Agencies,15.60B
ROLL,RBC Bearings Incorporated,Industrials,Tools & Accessories,4.95B
PSB,"PS Business Parks, Inc.",Real Estate,REIT - Diversified,4.17B
ABCM,Abcam plc,Healthcare,Biotechnology,4.87B
WBK,Westpac Banking Corporation,Financial,Banks - Diversified,69.60B
LFUS,"Littelfuse, Inc.",Technology,Electronic Components,6.70B
RLI,RLI Corp.,Financial,Insurance - Property & Casualty,5.20B
ICUI,"ICU Medical, Inc.",Healthcare,Medical Instruments & Supplies,4.36B
ACH,Aluminum Corporation of China Limited,Basic Materials,Aluminum,11.16B
SHG,"Shinhan Financial Group Co., Ltd.",Financial,Banks - Regional,16.33B
MAX,"MediaAlpha, Inc.",Communication Services,Internet Content & Information,3.79B
BCH,Banco de Chile,Financial,Banks - Regional,12.43B
MSA,MSA Safety Incorporated,Industrials,Security & Protection Services,6.40B
NOVT,Novanta Inc.,Technology,Scientific & Technical Instruments,4.46B
PSMT,"PriceSmart, Inc.",Consumer Defensive,Discount Stores,3.05B
KNSL,"Kinsale Capital Group, Inc.",Financial,Insurance - Property & Casualty,4.09B
MOG-A,Moog Inc.,Industrials,Aerospace & Defense,2.68B
NOAH,Noah Holdings Limited,Financial,Asset Management,2.84B
DOOR,Masonite International Corporation,Industrials,Building Products & Equipment,2.92B
LUNG,Pulmonx Corporation,Healthcare,Medical Devices,2.12B
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,3.62B
VMI,"Valmont Industries, Inc.",Industrials,Metal Fabrication,5.21B
PATK,"Patrick Industries, Inc.",Industrials,Building Products & Equipment,2.18B
PLXS,Plexus Corp.,Technology,Electronic Components,2.63B
SPSC,"SPS Commerce, Inc.",Technology,Software - Infrastructure,3.83B
MODV,ModivCare Inc.,Healthcare,Medical Care Facilities,2.06B
CQP,"Cheniere Energy Partners, L.P.",Energy,Oil & Gas Midstream,27.34B
MED,"Medifast, Inc.",Consumer Cyclical,Personal Services,3.01B
GIB,CGI Inc.,Technology,Information Technology Services,18.06B
CCMP,"CMC Materials, Inc.",Technology,Semiconductor Equipment & Materials,5.15B
ARGX,argenx SE,Healthcare,Biotechnology,16.10B
CHE,Chemed Corporation,Healthcare,Medical Care Facilities,7.30B
MTD,Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,26.03B
JOBS,"51job, Inc.",Industrials,Staffing & Employment Services,4.36B
INDB,Independent Bank Corp.,Financial,Banks - Regional,3.12B
NVMI,Nova Measuring Instruments Ltd.,Technology,Semiconductor Equipment & Materials,2.40B
DFH,"Dream Finders Homes, Inc.",Consumer Cyclical,Residential Construction,2.42B
APPF,"AppFolio, Inc.",Technology,Software - Application,5.04B
FBK,FB Financial Corporation,Financial,Banks - Regional,2.19B
MANT,ManTech International Corporation,Technology,Software - Application,3.29B
WFG,West Fraser Timber Co. Ltd.,Basic Materials,Lumber & Wood Production,8.05B
ITGR,Integer Holdings Corporation,Healthcare,Medical Devices,3.10B
FN,Fabrinet,Technology,Electronic Components,3.40B
HCM,Hutchison China MediTech Limited,Healthcare,Drug Manufacturers - General,4.10B
NEOG,Neogen Corporation,Healthcare,Diagnostics & Research,4.50B
PRI,"Primerica, Inc.",Financial,Insurance - Life,6.08B
HEI-A,HEICO Corporation,Industrials,Aerospace & Defense,9.93B
KB,KB Financial Group Inc.,Financial,Banks - Regional,19.31B
UNF,UniFirst Corporation,Industrials,Specialty Business Services,4.45B
EPAM,"EPAM Systems, Inc.",Technology,Information Technology Services,21.04B
MORN,"Morningstar, Inc.",Financial,Financial Data & Stock Exchanges,10.66B
AIN,Albany International Corp.,Consumer Cyclical,Textile Manufacturing,2.77B
BRC,Brady Corporation,Industrials,Security & Protection Services,2.89B
LCII,LCI Industries,Consumer Cyclical,Recreational Vehicles,3.68B
SAFM,"Sanderson Farms, Inc.",Consumer Defensive,Packaged Foods,3.64B
CBT,Cabot Corporation,Basic Materials,Specialty Chemicals,2.97B
CNA,CNA Financial Corporation,Financial,Insurance - Property & Casualty,12.41B
MTX,Minerals Technologies Inc.,Basic Materials,Chemicals,2.64B
EXLS,"ExlService Holdings, Inc.",Technology,Information Technology Services,3.02B
RACE,Ferrari N.V.,Consumer Cyclical,Auto Manufacturers,36.14B
PRFT,"Perficient, Inc.",Technology,Information Technology Services,2.02B
B,Barnes Group Inc.,Industrials,Specialty Industrial Machinery,2.83B
NZF,Nuveen Municipal Credit Income Fund,Financial,Asset Management,2.28B
GPI,"Group 1 Automotive, Inc.",Consumer Cyclical,Auto & Truck Dealerships,3.12B
IHG,InterContinental Hotels Group PLC,Consumer Cyclical,Lodging,13.27B
HHC,The Howard Hughes Corporation,Real Estate,Real Estate - Diversified,5.46B
CWST,"Casella Waste Systems, Inc.",Industrials,Waste Management,3.26B
USNA,"USANA Health Sciences, Inc.",Consumer Defensive,Household & Personal Products,2.07B
FIBK,"First Interstate BancSystem, Inc.",Financial,Banks - Regional,3.02B
STRA,"Strategic Education, Inc.",Consumer Defensive,Education & Training Services,2.11B
FRME,First Merchants Corporation,Financial,Banks - Regional,2.58B
CERE,"Cerevel Therapeutics Holdings, Inc.",Healthcare,Biotechnology,2.00B
TFSL,TFS Financial Corporation,Financial,Banks - Regional,5.84B
SHEN,Shenandoah Telecommunications Company,Communication Services,Telecom Services,2.54B
IPAR,"Inter Parfums, Inc.",Consumer Defensive,Household & Personal Products,2.37B
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Communication Services,Telecom Services,23.20B
GLPG,Galapagos NV,Healthcare,Biotechnology,5.43B
CNMD,CONMED Corporation,Healthcare,Medical Devices,3.65B
FTDR,"frontdoor, inc.",Consumer Cyclical,Personal Services,4.70B
PQG,PQ Group Holdings Inc.,Basic Materials,Specialty Chemicals,2.41B
FELE,"Franklin Electric Co., Inc.",Industrials,Specialty Industrial Machinery,3.63B
GLOB,Globant S.A.,Technology,Software - Application,8.74B
MSGS,Madison Square Garden Sports Corp.,Communication Services,Entertainment,4.83B
BLD,TopBuild Corp.,Industrials,Engineering & Construction,7.01B
SINA,SINA Corporation,Communication Services,Internet Content & Information,2.57B
PIPR,Piper Sandler Companies,Financial,Capital Markets,2.07B
SPXC,SPX Corporation,Industrials,Specialty Industrial Machinery,2.72B
IBTX,"Independent Bank Group, Inc.",Financial,Banks - Regional,3.32B
TBK,"Triumph Bancorp, Inc.",Financial,Banks - Regional,2.01B
SAFE,Safehold Inc.,Real Estate,REIT - Diversified,4.00B
ASGN,ASGN Incorporated,Industrials,Staffing & Employment Services,5.09B
TFII,TFI International Inc.,Industrials,Trucking,6.95B
WTS,"Watts Water Technologies, Inc.",Industrials,Specialty Industrial Machinery,4.08B
AMTI,Applied Molecular Transport Inc.,Healthcare,Biotechnology,2.49B
CNS,"Cohen & Steers, Inc.",Financial,Asset Management,3.27B
TOWN,TowneBank,Financial,Banks - Regional,2.26B
RDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,10.15B
FSS,Federal Signal Corporation,Industrials,Pollution & Treatment Controls,2.33B
EXPO,"Exponent, Inc.",Industrials,Consulting Services,5.14B
AVNS,"Avanos Medical, Inc.",Healthcare,Medical Devices,2.28B
LSTR,"Landstar System, Inc.",Industrials,Integrated Freight & Logistics,6.35B
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,3.84B
MGEE,"MGE Energy, Inc.",Utilities,Utilities - Diversified,2.56B
ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,2.01B
ICL,ICL Group Ltd,Basic Materials,Agricultural Inputs,7.81B
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,11.90B
SITM,SiTime Corporation,Technology,Semiconductors,2.09B
UMBF,UMB Financial Corporation,Financial,Banks - Regional,4.51B
SNP,China Petroleum & Chemical Corporation,Energy,Oil & Gas Integrated,82.30B
CUB,Cubic Corporation,Industrials,Aerospace & Defense,2.22B
LII,Lennox International Inc.,Industrials,Specialty Industrial Machinery,11.30B
INSP,"Inspire Medical Systems, Inc.",Healthcare,Medical Devices,5.97B
NAC,Nuveen California Quality Municipal Income Fund,Financial,Closed-End Fund - Debt,2.14B
AEIS,"Advanced Energy Industries, Inc.",Industrials,Electrical Equipment & Parts,4.23B
VICR,Vicor Corporation,Technology,Electronic Components,4.24B
LHCG,"LHC Group, Inc.",Healthcare,Medical Care Facilities,6.09B
CAJ,Canon Inc.,Technology,Computer Hardware,29.30B
INNV,InnovAge Holding Corp.,Healthcare,Medical Care Facilities,3.34B
AZO,"AutoZone, Inc.",Consumer Cyclical,Specialty Retail,28.94B
LILA,Liberty Latin America Ltd.,Communication Services,Telecom Services,3.22B
HTLF,"Heartland Financial USA, Inc.",Financial,Banks - Regional,2.16B
HELE,Helen of Troy Limited,Consumer Defensive,Household & Personal Products,5.65B
CNXC,Concentrix Corporation,Technology,Information Technology Services,7.40B
TTEC,"TTEC Holdings, Inc.",Technology,Information Technology Services,4.37B
BCO,The Brink's Company,Industrials,Security & Protection Services,4.16B
NUV,"Nuveen Municipal Value Fund, Inc.",Financial,Closed-End Fund - Debt,2.29B
GEF,"Greif, Inc.",Consumer Cyclical,Packaging & Containers,2.79B
FICO,Fair Isaac Corporation,Technology,Software - Application,14.37B
JOE,The St. Joe Company,Real Estate,Real Estate - Diversified,2.90B
PRO,"PROS Holdings, Inc.",Technology,Software - Application,2.11B
AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial Distribution,3.62B
SKM,"SK Telecom Co.,Ltd",Communication Services,Telecom Services,18.14B
BSTZ,BlackRock Science and Technology Trust II,Financial,Asset Management,2.79B
IDCC,"InterDigital, Inc.",Communication Services,Telecom Services,2.03B
JBT,John Bean Technologies Corporation,Industrials,Specialty Industrial Machinery,4.45B
XNCR,"Xencor, Inc.",Healthcare,Biotechnology,2.70B
MMS,"Maximus, Inc.",Industrials,Specialty Business Services,5.31B
DCPH,"Deciphera Pharmaceuticals, Inc.",Healthcare,Biotechnology,2.48B
PTR,PetroChina Company Limited,Energy,Oil & Gas Integrated,121.64B
CALM,"Cal-Maine Foods, Inc.",Consumer Defensive,Farm Products,2.09B
SSTK,"Shutterstock, Inc.",Communication Services,Internet Content & Information,3.30B
TNET,"TriNet Group, Inc.",Industrials,Staffing & Employment Services,5.38B
PRLD,Prelude Therapeutics Incorporated,Healthcare,Biotechnology,2.73B
NAD,Nuveen Quality Municipal Income Fund,Financial,Asset Management,3.16B
CHT,"Chunghwa Telecom Co., Ltd.",Communication Services,Telecom Services,30.54B
IMAB,I-Mab,Healthcare,Biotechnology,3.82B
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Restaurants,42.06B
CWT,California Water Service Group,Utilities,Utilities - Regulated Water,2.66B
GKOS,Glaukos Corporation,Healthcare,Medical Instruments & Supplies,4.10B
AVIR,"Atea Pharmaceuticals, Inc.",Healthcare,Biotechnology,5.74B
ALTR,Altair Engineering Inc.,Technology,Software - Infrastructure,4.79B
IPGP,IPG Photonics Corporation,Technology,Semiconductor Equipment & Materials,11.85B
EAR,"Eargo, Inc.",Healthcare,Medical Devices,2.05B
ATC,Atotech Limited,Technology,Electronic Components,4.04B
SBCF,Seacoast Banking Corporation of Florida,Financial,Banks - Regional,2.14B
AWI,"Armstrong World Industries, Inc.",Industrials,Building Products & Equipment,4.52B
BIO,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Devices,17.43B
AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified,2.11B
SNX,SYNNEX Corporation,Technology,Information Technology Services,5.30B
PKX,POSCO,Basic Materials,Steel,23.36B
LAD,"Lithia Motors, Inc.",Consumer Cyclical,Auto & Truck Dealerships,10.72B
SFBS,"ServisFirst Bancshares, Inc.",Financial,Banks - Regional,3.11B
THRM,Gentherm Incorporated,Consumer Cyclical,Auto Parts,2.65B
KFY,Korn Ferry,Industrials,Staffing & Employment Services,3.38B
GATX,GATX Corporation,Industrials,Rental & Leasing Services,3.39B
RARE,Ultragenyx Pharmaceutical Inc.,Healthcare,Biotechnology,8.65B
AVAV,"AeroVironment, Inc.",Industrials,Aerospace & Defense,2.97B
RE,"Everest Re Group, Ltd.",Financial,Insurance - Reinsurance,10.10B
TTGT,"TechTarget, Inc.",Communication Services,Internet Content & Information,2.31B
LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,2.58B
COHR,"Coherent, Inc.",Technology,Scientific & Technical Instruments,6.06B
STMP,Stamps.com Inc.,Technology,Software - Application,3.60B
PAG,"Penske Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,6.79B
CASY,"Casey's General Stores, Inc.",Consumer Defensive,Grocery Stores,7.57B
MFG,"Mizuho Financial Group, Inc.",Financial,Banks - Regional,38.79B
IBOC,International Bancshares Corporation,Financial,Banks - Regional,3.19B
ABMD,"Abiomed, Inc.",Healthcare,Medical Devices,13.93B
MANH,"Manhattan Associates, Inc.",Technology,Software - Application,8.00B
COR,CoreSite Realty Corporation,Real Estate,REIT - Office,4.97B
ALLK,Allakos Inc.,Healthcare,Biotechnology,6.53B
SWTX,"SpringWorks Therapeutics, Inc.",Healthcare,Biotechnology,3.64B
FLOW,"SPX FLOW, Inc.",Industrials,Specialty Industrial Machinery,2.85B
MGLN,"Magellan Health, Inc.",Healthcare,Healthcare Plans,2.44B
CBU,"Community Bank System, Inc.",Financial,Banks - Regional,4.17B
CBRL,"Cracker Barrel Old Country Store, Inc.",Consumer Cyclical,Restaurants,4.01B
CRL,"Charles River Laboratories International, Inc.",Healthcare,Diagnostics & Research,14.45B
DORM,"Dorman Products, Inc.",Consumer Cyclical,Auto Parts,3.36B
PCTY,Paylocity Holding Corporation,Technology,Software - Application,10.46B
AWR,American States Water Company,Utilities,Utilities - Regulated Water,2.66B
ONTF,"ON24, Inc.",Technology,Software - Application,2.55B
SITE,"SiteOne Landscape Supply, Inc.",Industrials,Industrial Distribution,7.98B
BMI,"Badger Meter, Inc.",Industrials,Electrical Equipment & Parts,2.97B
TECH,Bio-Techne Corporation,Healthcare,Biotechnology,15.52B
ODP,The ODP Corporation,Consumer Cyclical,Specialty Retail,2.09B
PUK,Prudential plc,Financial,Insurance - Life,55.49B
SAIA,"Saia, Inc.",Industrials,Trucking,5.98B
ATRC,"AtriCure, Inc.",Healthcare,Medical Instruments & Supplies,3.01B
EGP,"EastGroup Properties, Inc.",Real Estate,REIT - Industrial,5.62B
VC,Visteon Corporation,Consumer Cyclical,Auto Parts,3.67B
CHDN,Churchill Downs Incorporated,Consumer Cyclical,Gambling,9.67B
HLNE,Hamilton Lane Incorporated,Financial,Asset Management,4.69B
CD,Chindata Group Holdings Limited,Technology,Information Technology Services,6.60B
GOLF,Acushnet Holdings Corp.,Consumer Cyclical,Leisure,3.18B
PEN,"Penumbra, Inc.",Healthcare,Medical Devices,10.30B
CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,8.44B
MUSA,Murphy USA Inc.,Consumer Cyclical,Specialty Retail,3.49B
OCFT,"OneConnect Financial Technology Co., Ltd.",Technology,Software - Application,6.77B
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,9.64B
SANM,Sanmina Corporation,Technology,Electronic Components,2.61B
BSMX,Banco Santander Mexico SA ADR,Financial,Banks - Regional,6.79B
CIB,Bancolombia S.A.,Financial,Banks - Regional,8.29B
BNR,Burning Rock Biotech Limited,Healthcare,Diagnostics & Research,2.96B
SIGI,"Selective Insurance Group, Inc.",Financial,Insurance - Property & Casualty,4.63B
CMP,"Compass Minerals International, Inc.",Basic Materials,Other Industrial Metals & Mining,2.29B
USM,United States Cellular Corporation,Communication Services,Telecom Services,3.09B
BIPC,Brookfield Infrastructure Corporation,Utilities,Utilities - Regulated Gas,3.26B
TDG,TransDigm Group Incorporated,Industrials,Aerospace & Defense,32.53B
NTCT,"NetScout Systems, Inc.",Technology,Software - Infrastructure,2.18B
EME,"EMCOR Group, Inc.",Industrials,Engineering & Construction,6.09B
WCC,"WESCO International, Inc.",Industrials,Industrial Distribution,4.62B
RNR,RenaissanceRe Holdings Ltd.,Financial,Insurance - Reinsurance,8.40B
ENSG,"The Ensign Group, Inc.",Healthcare,Medical Care Facilities,4.96B
SPB,"Spectrum Brands Holdings, Inc.",Consumer Defensive,Household & Personal Products,3.66B
NDSN,Nordson Corporation,Industrials,Specialty Industrial Machinery,11.99B
IBP,"Installed Building Products, Inc.",Industrials,Building Products & Equipment,3.49B
PRGS,Progress Software Corporation,Technology,Software - Application,2.01B
PCRX,"Pacira BioSciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,3.16B
FIX,"Comfort Systems USA, Inc.",Industrials,Engineering & Construction,2.64B
CR,Crane Co.,Industrials,Specialty Industrial Machinery,5.43B
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,Telecom Services,2.91B
SXT,Sensient Technologies Corporation,Basic Materials,Specialty Chemicals,3.39B
PJT,PJT Partners Inc.,Financial,Capital Markets,2.54B
WSO,"Watsco, Inc.",Industrials,Industrial Distribution,9.69B
PTCT,"PTC Therapeutics, Inc.",Healthcare,Biotechnology,4.00B
WOR,"Worthington Industries, Inc.",Basic Materials,Steel,3.84B
GWW,"W.W. Grainger, Inc.",Industrials,Industrial Distribution,20.49B
MSGE,Madison Square Garden Entertainment Corp.,Communication Services,Entertainment,2.74B
CSQ,Calamos Strategic Total Return Fund,Financial,Closed-End Fund - Debt,2.65B
BAK,Braskem S.A.,Basic Materials,Chemicals,4.71B
ALXO,ALX Oncology Holdings Inc.,Healthcare,Biotechnology,3.00B
UTF,"Cohen & Steers Infrastructure Fund, Inc",Financial,Closed-End Fund - Equity,2.48B
NSIT,"Insight Enterprises, Inc.",Technology,Information Technology Services,3.38B
OGS,"ONE Gas, Inc.",Utilities,Utilities - Regulated Gas,4.03B
GTH,Genetron Holdings Limited,Healthcare,Diagnostics & Research,2.07B
BRKR,Bruker Corporation,Healthcare,Medical Devices,9.58B
ENS,EnerSys,Industrials,Electrical Equipment & Parts,4.23B
TRMK,Trustmark Corporation,Financial,Banks - Regional,2.14B
MKTX,MarketAxess Holdings Inc.,Financial,Capital Markets,20.15B
BGNE,"BeiGene, Ltd.",Healthcare,Biotechnology,28.79B
TREE,"LendingTree, Inc.",Financial,Mortgage Finance,3.29B
CW,Curtiss-Wright Corporation,Industrials,Specialty Industrial Machinery,4.89B
FDS,FactSet Research Systems Inc.,Financial,Financial Data & Stock Exchanges,12.17B
MKSI,"MKS Instruments, Inc.",Technology,Scientific & Technical Instruments,9.70B
BRP,"BRP Group, Inc.",Financial,Insurance Brokers,2.45B
HUBG,"Hub Group, Inc.",Industrials,Integrated Freight & Logistics,2.23B
PHR,"Phreesia, Inc.",Healthcare,Health Information Services,2.70B
THG,"The Hanover Insurance Group, Inc.",Financial,Insurance - Property & Casualty,4.66B
KRNT,Kornit Digital Ltd.,Industrials,Specialty Industrial Machinery,4.24B
KOD,Kodiak Sciences Inc.,Healthcare,Biotechnology,6.80B
BIP,Brookfield Infrastructure Partners L.P.,Utilities,Utilities - Diversified,21.80B
EPAY,"Bottomline Technologies (de), Inc.",Technology,Software - Infrastructure,2.17B
BFAM,Bright Horizons Family Solutions Inc.,Consumer Cyclical,Personal Services,10.37B
CSGP,"CoStar Group, Inc.",Real Estate,Real Estate Services,32.97B
TTEK,"Tetra Tech, Inc.",Industrials,Engineering & Construction,7.41B
GL,Globe Life Inc.,Financial,Insurance - Life,10.29B
KEP,Korea Electric Power Corporation,Utilities,Utilities - Regulated Electric,13.09B
FCN,"FTI Consulting, Inc.",Industrials,Consulting Services,4.35B
XLRN,Acceleron Pharma Inc.,Healthcare,Biotechnology,8.17B
ITCI,"Intra-Cellular Therapies, Inc.",Healthcare,Biotechnology,2.92B
IGMS,"IGM Biosciences, Inc.",Healthcare,Biotechnology,2.75B
WD,"Walker & Dunlop, Inc.",Financial,Mortgage Finance,3.62B
WIX,Wix.com Ltd.,Technology,Software - Infrastructure,16.95B
MMSI,"Merit Medical Systems, Inc.",Healthcare,Medical Instruments & Supplies,3.36B
CVLT,"Commvault Systems, Inc.",Technology,Software - Application,3.18B
BSAC,Banco Santander-Chile,Financial,Banks - Regional,11.76B
POOL,Pool Corporation,Consumer Cyclical,Leisure,14.16B
GDV,The Gabelli Dividend & Income Trust,Financial,Closed-End Fund - Equity,2.19B
CLH,"Clean Harbors, Inc.",Industrials,Waste Management,4.88B
RVMD,"Revolution Medicines, Inc.",Healthcare,Biotechnology,3.47B
ROCK,"Gibraltar Industries, Inc.",Industrials,Building Products & Equipment,3.10B
WEX,WEX Inc.,Technology,Software - Infrastructure,9.86B
REYN,Reynolds Consumer Products Inc.,Consumer Cyclical,Packaging & Containers,6.28B
DSP,Viant Technology Inc.,Technology,Software - Application,2.56B
PBH,Prestige Consumer Healthcare Inc.,Healthcare,Medical Distribution,2.34B
KEX,Kirby Corporation,Industrials,Marine Shipping,4.13B
RBC,Regal Beloit Corporation,Industrials,Specialty Industrial Machinery,6.04B
AMN,"AMN Healthcare Services, Inc.",Healthcare,Medical Care Facilities,3.58B
DEO,Diageo plc,Consumer Defensive,Beverages - Wineries & Distilleries,97.25B
MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,2.51B
HLI,"Houlihan Lokey, Inc.",Financial,Capital Markets,4.69B
AMED,"Amedisys, Inc.",Healthcare,Medical Care Facilities,8.74B
FOXF,Fox Factory Holding Corp.,Consumer Cyclical,Recreational Vehicles,5.77B
