symbol,description,industry,sector,market_cap
HSY,The Hershey Company,Consumer Defensive,Confectioners,31.65B
EWBC,"East West Bancorp, Inc.",Financial,Banks - Diversified,10.74B
CAE,CAE Inc.,Industrials,Aerospace & Defense,7.74B
PSXP,Phillips 66 Partners LP,Energy,Oil & Gas Midstream,6.95B
VRSK,"Verisk Analytics, Inc.",Industrials,Consulting Services,28.66B
BPY,Brookfield Property Partners L.P.,Real Estate,Real Estate Services,16.41B
CUBE,CubeSmart,Real Estate,REIT - Industrial,7.53B
PDM,"Piedmont Office Realty Trust, Inc.",Real Estate,REIT - Office,2.25B
SEAS,"SeaWorld Entertainment, Inc.",Consumer Cyclical,Leisure,3.92B
NMRK,"Newmark Group, Inc.",Real Estate,Real Estate Services,2.02B
DAR,Darling Ingredients Inc.,Consumer Defensive,Packaged Foods,12.78B
SJM,The J. M. Smucker Company,Consumer Defensive,Packaged Foods,13.25B
LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,13.48B
AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,2.96B
ESNT,Essent Group Ltd.,Financial,Mortgage Finance,5.12B
REZI,"Resideo Technologies, Inc.",Industrials,Security & Protection Services,4.50B
TMHC,Taylor Morrison Home Corporation,Consumer Cyclical,Residential Construction,3.97B
SUI,"Sun Communities, Inc.",Real Estate,REIT - Residential,16.40B
WSC,WillScot Mobile Mini Holdings Corp.,Industrials,Rental & Leasing Services,6.31B
ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,7.50B
XPER,Xperi Holding Corporation,Technology,Semiconductor Equipment & Materials,2.52B
ANGI,ANGI Homeservices Inc.,Communication Services,Internet Content & Information,7.84B
ENV,"Envestnet, Inc.",Technology,Software - Application,3.79B
BRO,"Brown & Brown, Inc.",Financial,Insurance Brokers,13.18B
MIDD,The Middleby Corporation,Industrials,Specialty Industrial Machinery,9.51B
CTLT,"Catalent, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,18.24B
JACK,Jack in the Box Inc.,Consumer Cyclical,Restaurants,2.44B
FMBI,"First Midwest Bancorp, Inc.",Financial,Banks - Regional,2.57B
FULT,Fulton Financial Corporation,Financial,Banks - Regional,2.76B
SAP,SAP SE,Technology,Software - Application,153.77B
PCH,PotlatchDeltic Corporation,Real Estate,REIT - Specialty,3.63B
OM,"Outset Medical, Inc.",Healthcare,Medical Devices,2.30B
RPD,"Rapid7, Inc.",Technology,Software - Application,4.18B
GPC,Genuine Parts Company,Consumer Cyclical,Specialty Retail,16.60B
LSCC,Lattice Semiconductor Corporation,Technology,Semiconductors,6.11B
SHOO,"Steven Madden, Ltd.",Consumer Cyclical,Footwear & Accessories,3.34B
IBRX,"ImmunityBio, Inc.",Healthcare,Biotechnology,3.76B
IQV,IQVIA Holdings Inc.,Healthcare,Diagnostics & Research,37.06B
VRRM,Verra Mobility Corporation,Industrials,Security & Protection Services,2.47B
ALKS,Alkermes plc,Healthcare,Biotechnology,3.17B
CVNA,Carvana Co.,Consumer Cyclical,Internet Retail,47.35B
BC,Brunswick Corporation,Consumer Cyclical,Leisure,8.38B
SOGO,Sogou Inc.,Communication Services,Internet Content & Information,3.15B
TV,"Grupo Televisa, S.A.B.",Communication Services,Broadcasting,4.95B
EAT,"Brinker International, Inc.",Consumer Cyclical,Restaurants,3.39B
MMYT,MakeMyTrip Limited,Consumer Cyclical,Travel Services,3.86B
TLND,Talend S.A.,Technology,Software - Infrastructure,2.03B
MNSO,MINISO Group Holding Limited,Consumer Cyclical,Specialty Retail,7.54B
WBT,"Welbilt, Inc.",Industrials,Specialty Industrial Machinery,2.35B
RLAY,"Relay Therapeutics, Inc.",Healthcare,Biotechnology,3.59B
CTXS,"Citrix Systems, Inc.",Technology,Software - Application,16.81B
HQY,"HealthEquity, Inc.",Healthcare,Health Information Services,6.57B
VOYA,"Voya Financial, Inc.",Financial,Financial Conglomerates,7.96B
NUVA,"NuVasive, Inc.",Healthcare,Medical Devices,3.29B
LAZ,Lazard Ltd,Financial,Capital Markets,4.92B
RY,Royal Bank of Canada,Financial,Banks - Diversified,130.63B
